Plant Name,Growth,Soil,Sunlight,Watering,Fertilizing Type,ImageURL,Scientific Name,Genus,Family,Information,Watering tips,Soil Tips,Pruning Tips
Parsley,moderate,well-drained,partial sunlight,Keep soil consistently moist,Organic,https://images.unsplash.com/photo-1719724680288-b0a3a7d90baf?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxQYXJzbGV5JTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTM3fDA&ixlib=rb-4.0.3&q=80&w=1080,Petroselinum crispum,Petroselinum,Apiaceae,"Parsley is a bright green herb widely used as a garnish and in cooking for its clean, slightly peppery flavor. Its rich in vitamins A, C, and K, and can be grown easily in kitchen gardens or containers.",Keep soil evenly moist.,"Rich, loamy, well-drained soil.",Harvest from the outer leaves regularly.
Fern (Boston),moderate,well-drained,indirect sunlight,Water when topsoil is dry,Organic,https://images.unsplash.com/photo-1541519962116-cc18dbc08d41?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxGZXJuJTIwJTI4Qm9zdG9uJTI5JTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTM5fDA&ixlib=rb-4.0.3&q=80&w=1080,Nephrolepis exaltata,Nephrolepis,Nephrolepidaceae,"Boston Fern is a classic houseplant with lush, arching fronds that add a touch of greenery and elegance to any space. Native to tropical regions, it thrives in humidity and indirect light. It's commonly used in hanging baskets and known for air-purifying qualities.",Keep soil consistently moist and mist regularly.,"Rich, well-drained, and moisture-retentive soil.",Trim dead fronds and cut back in spring to encourage new growth.
Bamboo Palm,slow,well-drained,indirect sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1515595967223-f9fa59af5a3b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxCYW1ib28lMjBQYWxtJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTQxfDA&ixlib=rb-4.0.3&q=80&w=1080,Chamaedorea seifrizii,Chamaedorea,Arecaceae,"Bamboo Palm is a tropical plant favored for its bamboo-like stems and feathered fronds. It's often used indoors to improve air quality and add a lush, tropical feel. It's slow-growing and thrives in low to medium light conditions.",Water when the top inch of soil feels dry.,"Well-draining, loamy soil.",Remove yellow or brown leaves at the base.
Money Plant,moderate,well-drained,indirect sunlight,Water when topsoil is dry,Balanced,https://images.unsplash.com/photo-1633158829875-e5316a358c6f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxNb25leSUyMFBsYW50JTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTQzfDA&ixlib=rb-4.0.3&q=80&w=1080,Epipremnum aureum,Epipremnum,Araceae,"Money Plant, also known as Pothos, is a resilient and fast-growing vine popular in homes and offices. Its believed to bring prosperity and good fortune in some cultures. Its trailing vines and heart-shaped leaves make it ideal for hanging pots or climbing trellises.",Allow the soil to dry between waterings,Well-drained potting mix.,Pinch or trim vines to control length and encourage bushier growth.
Jade Plant,slow,sandy,indirect sunlight,Water when soil is dry,Low-nitrogen,https://images.unsplash.com/photo-1483794344563-d27a8d18014e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxKYWRlJTIwUGxhbnQlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI1NDV8MA&ixlib=rb-4.0.3&q=80&w=1080,Crassula ovata,Crassula,Crassulaceae,"Jade Plant is a succulent with thick, fleshy leaves and a tree-like appearance. Native to South Africa, it is often regarded as a symbol of luck and prosperity. Its well-suited for indoor environments due to its low maintenance needs.",Water thoroughly but infrequently; allow soil to dry out.,"Sandy, well-draining cactus mix.",Trim to maintain shape and remove leggy growth.
Orchids,moderate,well-drained,indirect sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1538998073820-4dfa76300194?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxPcmNoaWRzJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTQ3fDA&ixlib=rb-4.0.3&q=80&w=1080,Phalaenopsis spp,Phalaenopsis spp,Apiaceae,"Orchids are a diverse group of flowering plants known for their exotic and intricate blooms. They thrive in warm, humid environments with filtered light. Though perceived as delicate, many orchids are easy to grow with proper care and add elegance to interiors.",Water once a week; do not let roots sit in water.,Use orchid bark mix or sphagnum moss.,Cut spent flower spikes above a node to encourage reblooming.
Cilantro,fast,well-drained,full sunlight,Keep soil moist,Balanced,https://images.unsplash.com/photo-1723810315254-e189f1294bff?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxDaWxhbnRybyUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjU0OXww&ixlib=rb-4.0.3&q=80&w=1080,Coriandrum sativum,Coriandrum,Apiaceae,"Cilantro is a leafy green herb popular in many cuisines for its citrusy, slightly spicy flavor. It is also known as coriander when referring to its seeds. Cilantro grows quickly and is best harvested young for optimal flavor and aroma.",Keep soil moist but not soggy,"Loose, well-draining soil with organic matter.",Harvest frequently to delay bolting.
Dill,moderate,sandy,full sunlight,Keep soil evenly moist,Organic,https://images.unsplash.com/photo-1509210459313-17feefdff5cd?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxEaWxsJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTUxfDA&ixlib=rb-4.0.3&q=80&w=1080,Anethum graveolens,Anethum,Apiaceae,Dill is an aromatic herb with feathery leaves and a slightly tangy taste. Both its leaves and seeds are used in cooking. Its easy to grow and often planted in herb gardens or kitchen windowsills for seasoning purposes,"Water regularly, especially in dry conditions.","Light, well-draining soil.",Pinch flower heads early to encourage more leaf growth.
Chives,fast,well-drained,full sunlight,Keep soil moist,Balanced,https://images.unsplash.com/photo-1607604809358-81df2bfcdd41?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxDaGl2ZXMlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI1NTN8MA&ixlib=rb-4.0.3&q=80&w=1080,Allium schoenoprasum,Allium,Amaryllidaceae,"Chives are a hardy perennial herb with slender, grass-like leaves and a mild onion flavor. They're a staple in kitchen gardens and grow well in pots. Chives also produce attractive purple flowers that are edible and pollinator-friendly.",Keep soil evenly moist.,"Rich, well-drained soil.",Snip from the base; harvest often to promote new growth.
Oregano,moderate,sandy,full sunlight,Water when topsoil is dry,Organic,https://images.unsplash.com/photo-1586352095703-97bbca90ce8a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxPcmVnYW5vJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTU0fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Pothos,fast,well-drained,indirect sunlight,Water when soil is dry,Balanced,https://images.unsplash.com/photo-1589523795613-c3fce27eea23?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxQb3Rob3MlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI1NTZ8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Rubber Plant,moderate,well-drained,indirect sunlight,Water when soil feels dry,Balanced,https://images.unsplash.com/photo-1512951670161-b5c6c632b00e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxSdWJiZXIlMjBQbGFudCUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjU1OHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Bougainvillea,fast,well-drained,full sunlight,Water when soil is dry,Low-nitrogen,https://images.unsplash.com/photo-1632375403672-cf8dafa440c9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxCb3VnYWludmlsbGVhJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTYwfDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Fiddle Leaf Fig,slow,well-drained,indirect sunlight,Water when topsoil is dry,Balanced,https://images.unsplash.com/photo-1531875456634-3f5418280d20?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxGaWRkbGUlMjBMZWFmJTIwRmlnJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTYyfDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Sage,moderate,well-drained,full sunlight,Let soil dry between watering,Organic,https://images.unsplash.com/photo-1734367607096-9005870e78b7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxTYWdlJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTY0fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Cosmos,fast,sandy,full sunlight,Water when soil feels dry,Organic,https://images.unsplash.com/photo-1668774794183-e99ef2d441cd?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxDb3Ntb3MlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI1NjZ8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Geranium,moderate,well-drained,full sunlight,Water when soil is dry,Balanced,https://images.unsplash.com/photo-1614899767482-dca7c5cedf70?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxHZXJhbml1bSUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjU2OHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Marigold,fast,well-drained,full sunlight,Water when soil is dry,Balanced,https://images.unsplash.com/photo-1656427975461-b40d292a58f5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxNYXJpZ29sZCUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjU3MHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Zinnia,fast,well-drained,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1516205651411-aef33a44f7c2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxaaW5uaWElMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI1NzJ8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Hibiscus,moderate,well-drained,full sunlight,Water when topsoil is dry,Balanced,https://images.unsplash.com/photo-1702157876330-09ea86f206b0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxIaWJpc2N1cyUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjU3NHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Begonia,moderate,well-drained,indirect sunlight,Keep soil moist,Organic,https://images.unsplash.com/photo-1738522110003-6c1a46f67f5d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxCZWdvbmlhJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTc2fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Chrysanthemum,fast,well-drained,full sunlight,Water when soil feels dry,Balanced,https://images.unsplash.com/photo-1480511361210-b1b966c8d614?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxDaHJ5c2FudGhlbXVtJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTc4fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Daffodil,slow,well-drained,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1617624863257-1f3ac4640e6a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxEYWZmb2RpbCUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjU4MHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Sunflower,fast,well-drained,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1594767876177-96c189b0e404?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxTdW5mbG93ZXIlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI1ODJ8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Tulip,slow,sandy,full sunlight,Water when soil is dry,Low-nitrogen,https://images.unsplash.com/photo-1680823190496-c685ccaed4e3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxUdWxpcCUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjU4NHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Peony,slow,well-drained,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1491833167315-f2f6c7c5deab?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxQZW9ueSUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjU4Nnww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Jasmine,moderate,loamy,full sunlight,Water weekly,Organic,https://images.unsplash.com/photo-1686150137547-3d504194e7d6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxKYXNtaW5lJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTg4fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Ivy,moderate,well-drained,indirect sunlight,Keep soil slightly moist,Balanced,https://images.unsplash.com/photo-1644020274212-610857aacc53?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxJdnklMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI1OTB8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Nasturtium,fast,well-drained,full sunlight,Water weekly,Organic,https://images.unsplash.com/photo-1621371047525-f99f36b60b9d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxOYXN0dXJ0aXVtJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTkxfDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Petunia,fast,well-drained,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1620031617260-17c8e579775f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxQZXR1bmlhJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTkzfDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Carnation,moderate,well-drained,full sunlight,Water when soil is dry,Low-nitrogen,https://images.unsplash.com/photo-1539622230226-3d4eb483b3f2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxDYXJuYXRpb24lMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI1OTV8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Snapdragon,fast,well-drained,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1620031617260-17c8e579775f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxTbmFwZHJhZ29uJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTk3fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Pansy,moderate,well-drained,partial sunlight,Keep soil evenly moist,Organic,https://images.unsplash.com/photo-1626561525678-694828d1c537?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxQYW5zeSUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjU5OXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Sweet Pea,fast,loamy,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1533910534207-90f31029a78e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxTd2VldCUyMFBlYSUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjYwMXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Morning Glory,fast,well-drained,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1474366521946-c3d4b507abf2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxNb3JuaW5nJTIwR2xvcnklMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI2MDN8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Verbena,moderate,sandy,full sunlight,Water weekly,Low-nitrogen,https://images.unsplash.com/photo-1656270616828-19d3c814827a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxWZXJiZW5hJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNjA1fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Gerbera Daisy,moderate,well-drained,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1674536214628-1e9af455a41d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxHZXJiZXJhJTIwRGFpc3klMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI2MDd8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Anemone,moderate,well-drained,partial sunlight,Keep soil evenly moist,Organic,https://images.unsplash.com/photo-1566553253535-64c91138b407?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxBbmVtb25lJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNjA4fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Hyacinth,moderate,loamy,full sunlight,Water weekly,Low-nitrogen,https://images.unsplash.com/photo-1489435518427-e047d52082f5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxIeWFjaW50aCUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjYxMHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
